ticker,name,asset_class,market_cap_focus,strategy,industry_focus,geographical_focus,maturity_band,rating_class_focus,total_assets,expense_ratio,std_dev_1yr,actively_managed
VWO,VANGUARD FTSE EMERGING MARKE,Equity,Broad Market,Blend,N.A.,International,N.A.,N.A.,74227.367,0.08,22.46,N
IEMG,ISHARES CORE MSCI EMERGING,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,72572.289,0.09,23.89,N
VXUS,VANGUARD TOTAL INTL STOCK,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,57558.785,0.07,23.32,N
EFA,ISHARES MSCI EAFE ETF,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,50264.996,0.33,24.68,N
VEU,VANGUARD FTSE ALL-WORLD EX-U,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,35702.117,0.08,23.13,N
VGK,VANGUARD FTSE EUROPE ETF,Equity,Large-cap,Blend,N.A.,European Region,N.A.,N.A.,19245.125,0.11,26.99,N
MCHI,ISHARES MSCI CHINA ETF,Equity,Large-cap,Blend,N.A.,China,N.A.,N.A.,7954.51,0.58,47.91,N
BBCA,JPMORGAN BETABUILDERS CANADA,Equity,Broad Market,Blend,N.A.,Canada,N.A.,N.A.,6107.155,0.19,23.16,N
EWZ,ISHARES MSCI BRAZIL ETF,Equity,Large-cap,Blend,N.A.,Brazil,N.A.,N.A.,5300.576,0.58,28.44,N
INDA,ISHARES MSCI INDIA ETF,Equity,Broad Market,Blend,N.A.,India,N.A.,N.A.,4889.417,0.68,16.38,N
EWT,ISHARES MSCI TAIWAN ETF,Equity,Broad Market,Blend,N.A.,Taiwan,N.A.,N.A.,4416.63,0.58,34.25,N
EWA,ISHARES MSCI AUSTRALIA ETF,Equity,Large-cap,Blend,N.A.,Australia,N.A.,N.A.,2209.595,0.5,29.36,N
EWW,ISHARES MSCI MEXICO ETF,Equity,Broad Market,Blend,N.A.,Mexico,N.A.,N.A.,1614.605,0.5,26.85,N
